happy,https://www.youtube.com/watch?v=SZcKlOtdF1A
happy,https://www.youtube.com/watch?v=o5FzCz8NC58
happy,https://www.youtube.com/watch?v=VRAU3CtiRq8
happy,https://www.youtube.com/watch?v=wZBmQBYPoXg
happy,https://www.youtube.com/watch?v=Bf9APsz1zlA
happy,https://www.youtube.com/watch?v=xYqALMnfTSA
happy,https://www.youtube.com/watch?v=lCMJA9jyEMg
happy,https://www.youtube.com/watch?v=JwB-iVAfnMo
sad,https://www.youtube.com/watch?v=ekzHIouo8Q4
sad,https://www.youtube.com/watch?v=D4Og8KMdlqI
sad,https://www.youtube.com/watch?v=sonzlE32YVg
sad,https://www.youtube.com/watch?v=RBtlPT23PTM
sad,https://www.youtube.com/watch?v=pv2yNGkNhZc
sad,https://www.youtube.com/watch?v=NsW5uu_w1A0
sad,https://www.youtube.com/watch?v=fBBpeyN8sSg
sad,https://www.youtube.com/watch?v=4HlnJgL3AwA
neutral,https://www.youtube.com/watch?v=vAu4WIK-VfM
neutral,https://www.youtube.com/watch?v=od2q-e5K-Zc
neutral,https://www.youtube.com/watch?v=2vkko-vX06I
neutral,https://www.youtube.com/watch?v=AiQiEiAPvUw
neutral,https://www.youtube.com/watch?v=7XvqnReD5OY
neutral,https://www.youtube.com/watch?v=QUnF1Vuon2s
neutral,https://www.youtube.com/watch?v=kHG80naqNlI
neutral,https://www.youtube.com/watch?v=mTLQhPFx2nM
surprised,https://www.youtube.com/watch?v=8uD6s-X3590
surprised,https://www.youtube.com/watch?v=6OFv566mj7s
surprised,https://www.youtube.com/watch?v=HIj22AXsIvI
surprised,https://www.youtube.com/watch?v=Pi9J4epTWGM
surprised,https://www.youtube.com/watch?v=eaP1VswBF28
surprised,https://www.youtube.com/watch?v=8LFWYsUtfV0
surprised,https://www.youtube.com/watch?v=Y0ScH6M_x_g
surprised,https://www.youtube.com/watch?v=F4_eZI--8Vk
angry,https://www.youtube.com/watch?v=oKtAurJxlIg
angry,https://www.youtube.com/watch?v=k50WMM9g-0Q
angry,https://www.youtube.com/watch?v=7artcErE6BU
angry,https://www.youtube.com/watch?v=5OeR5XBEahU
angry,https://www.youtube.com/watch?v=bM9M8f26s3Q
angry,https://www.youtube.com/watch?v=QPb93EJcQBw
angry,https://www.youtube.com/watch?v=SUtf9Ajlno4
angry,https://www.youtube.com/watch?v=BwBaA6B4zQI